-- Equipment Data File
-- README PLEASE!
-- Contains equipments that will be available in game
-- Equipment identifiers must contain their type (first letter should be uppercase)
-- Types available: Helmet, Armor, Legs, Boots, Weapon, Shield, Ring, Amulet
-- Be careful not to name them with a different type, they will be treated accordingly to their names!
-- To use spaces in identifiers use underline "_" (see examples below)
-- Pay attention in the provided examples and commentaries. Mimic them.
-- IT IS NECESSARY TO ADD EACH EQUIPMENT NAME AND SLOT INDEX TO THEIR RESPECTIVE ENUM MODULES!
-- Sorry for that, but java enums are complete static enumerations. It is nice
-- to use them in item creation, so it is required to manually add each equipment name
-- to their respective type enum class (in package item/enums).
-- Equipment name and description should be created in language bundle property files
-- Their names must be the same one here and in enum concatenated with "_Name" for names
-- and "_Desc" for description. See provided examples in property file and mimic them.
-- Do not change the order of equipment data, otherwise parsing will be incorrect!
-- author: Pedro Sampaio
-- since:  1.3
--
Golden_Skull_Helmet {
    -- effects of equipment (do not skip any effect, even if their value is 0, otherwise parsing will fail!)
    attack: 0
    defense: 6
    autoAttack: 0
    maxHealth: 15
    critChance: 0
    critMult: 0
    autoSpeed: 0
    speed: 0
    rateDrop: 0
    rateExp: 0
    rateGold: 0.25
    -- chance of dropping the equipment
    chance: 0.21
    -- quality of the equipment (from 0 to 3, 3 is the highest quality)
    quality: 3
    -- equipment slot position (WEAPON, HELMET, ARMOR, LEGS, BOOTS, SHIELD, RING or AMULET only!)
    slot: HELMET
    -- slot index (this is very important, as it will be used to generated the item unique ID)
    -- if this changes, an equipment ID will change too and player may have switched equipments
    -- this number should be the id of this equipment relative to it slot type
    -- meaning that for each slot type duplicates cannot exist
    -- for optimization of IDs use, do not leave gaps in numeration of equipments from a slot
    -- gap ex. (0,3,4,6,7). correct ex. (0,3,2,1,4)
    -- each type is currently limited to 2000 entries, so use from 0 to 1999 for each type
    index: 0
    -- position of equipment in texture
    xy: {529, 535}
    -- size of equipment in texture
    size: {67, 64}
}
Golden_Skull_Armor {
    attack: 0
    defense: 8
    autoAttack: 0
    maxHealth: 21
    critChance: 0
    critMult: 0
    autoSpeed: 0
    speed: 0
    rateDrop: 0
    rateExp: 0
    rateGold: 0.25
    chance: 0.1
    quality: 3
    slot: ARMOR
    index: 0
    xy: {537, 605}
    size: {61, 65}
